team,salary,player,position,season
Orlando Magic,7992000,Kelvin Cato, C,2004-2005
Denver Nuggets,7750000,Marcus Camby, C,2004-2005
New York Knicks,17531000,Allan Houston, SG,2004-2005
New York Knicks,7300000,Shandon Anderson, SF,2004-2005
Memphis Grizzlies,7150000,Lorenzen Wright, PF,2004-2005
Dallas Mavericks,7.00E+06,Jerry Stackhouse, SF,2004-2005
Sacramento Kings,6875000,Doug Christie, SG,2004-2005
Sacramento Kings,6875000,Peja Stojakovic, SF,2004-2005
Denver Nuggets,6667000,Kenyon Martin, PF,2004-2005
Utah Jazz,6375000,Howard Eisley, PG,2004-2005
San Antonio Spurs,6270000,Nazr Mohammed, C,2004-2005
Seattle SuperSonics,6191000,Vitaly Potapenko, C,2004-2005
Miami Heat,6078000,Christian Laettner, PF,2004-2005
Sacramento Kings,17351000,Chris Webber, C,2004-2005
Memphis Grizzlies,6022000,Stromile Swift, PF,2004-2005
Portland Trail Blazers,15750000,Damon Stoudamire, PG,2004-2005
Seattle SuperSonics,14625000,Ray Allen, SG,2004-2005
Minnesota Timberwolves,14625000,Latrell Sprewell, SG,2004-2005
Boston Celtics,14625000,Antoine Walker, PF,2004-2005
New York Knicks,14625000,Stephon Marbury, PG,2004-2005
Detroit Pistons,6.00E+06,Ben Wallace, PF,2004-2005
Seattle SuperSonics,5922000,Danny Fortson, C,2004-2005
Milwaukee Bucks,5900000,Calvin Booth, C,2004-2005
Milwaukee Bucks,5899000,Joe Smith, PF,2004-2005
Houston Rockets,5899000,Clarence Weatherspoon, PF,2004-2005
New York Knicks,5885000,Kurt Thomas, PF,2004-2005
Charlotte Bobcats,5884000,Jahidi White, C,2004-2005
Sacramento Kings,5883000,Cuttino Mobley, SG,2004-2005
Indiana Pacers,5792000,Scot Pollard, C,2004-2005
Phoenix Suns,5750000,Steve Nash, PG,2004-2005
Dallas Mavericks,5714000,Shawn Bradley, C,2004-2005
New York Knicks,5600000,Jerome Williams, PF,2004-2005
Sacramento Kings,5500000,Corliss Williamson, PF,2004-2005
Philadelphia 76ers,5500000,Aaron McKie, SG,2004-2005
Portland Trail Blazers,5419000,Darius Miles, SF,2004-2005
Washington Wizards,5361000,Kwame Brown, C,2004-2005
Phoenix Suns,5355000,Bo Outlaw, PF,2004-2005
Milwaukee Bucks,4915000,Marcus Fizer, F,2004-2005
Toronto Raptors,4875000,Lamond Murray, SF,2004-2005
Cleveland Cavaliers,4875000,Eric Snow, PG,2004-2005
Orlando Magic,4800000,Tony Battie, C,2004-2005
Atlanta Hawks,4800000,Michael Stewart, PF,2004-2005
Memphis Grizzlies,4482000,Mike Miller, SG,2004-2005
Memphis Grizzlies,4318000,Pau Gasol, C,2004-2005
Philadelphia 76ers,4225000,Marc Jackson, PF,2004-2005
Los Angeles Lakers,4200000,Chucky Atkins, PG,2004-2005
Denver Nuggets,4119000,DerMarr Johnson, SF,2004-2005
Los Angeles Lakers,3785000,Chris Mihm, C,2004-2005
New York Knicks,3600000,Moochie Norris, PG,2004-2005
New York Knicks,3475000,Jamal Crawford, SG,2004-2005
Portland Trail Blazers,3215000,Joel Przybilla, C,2004-2005
Memphis Grizzlies,3212000,Shane Battier, SF,2004-2005
Toronto Raptors,3150000,Aaron Williams, C,2004-2005
Chicago Bulls,3150000,Othella Harrington, PF,2004-2005
Sacramento Kings,3150000,Bobby Jackson, PG,2004-2005
Miami Heat,3073000,Keyon Dooling, PG,2004-2005
Toronto Raptors,3054000,Jerome Moiso, C,2004-2005
Washington Wizards,3043000,Etan Thomas, C,2004-2005
Golden State Warriors,3.00E+06,Derek Fisher, PG,2004-2005
New Orleans Hornets,3.00E+06,George Lynch, SF,2004-2005
Golden State Warriors,2232000,Troy Murphy, PF,2004-2005
Minnesota Timberwolves,2212000,Mark Madsen, PF,2004-2005
Sacramento Kings,1985000,Michael Bradley, PF,2004-2005
New Jersey Nets,1887000,Jason Collins, C,2004-2005
Portland Trail Blazers,1805000,Zach Randolph, PF,2004-2005
Utah Jazz,1672000,Andrei Kirilenko, SF,2004-2005
Philadelphia 76ers,1600000,Samuel Dalembert, C,2004-2005
Indiana Pacers,1554000,Jamaal Tinsley, PG,2004-2005
Charlotte Bobcats,1554000,Primoz Brezec, C,2004-2005
San Antonio Spurs,1545000,Tony Parker, PG,2004-2005
Charlotte Bobcats,1377000,Gerald Wallace, SF,2004-2005
Seattle SuperSonics,2969000,Mateen Cleaves, PG,2004-2005
Atlanta Hawks,2949000,Jason Collier, C,2004-2005
Minnesota Timberwolves,2937000,Eddie Griffin, PF,2004-2005
Orlando Magic,2803000,Hedo Turkoglu, SF,2004-2005
Cleveland Cavaliers,2695000,DeSagana Diop, C,2004-2005
Milwaukee Bucks,2680000,Desmond Mason, SF,2004-2005
Phoenix Suns,2562000,Quentin Richardson, SF,2004-2005
Golden State Warriors,2481000,Rodney White, SF,2004-2005
New Orleans Hornets,2474000,Jamaal Magloire, C,2004-2005
Golden State Warriors,2390000,Speedy Claxton, PG,2004-2005
Toronto Raptors,2371000,Morris Peterson, SG,2004-2005
New Jersey Nets,2363000,Donnell Harvey, PF,2004-2005
Orlando Magic,2362000,DeShawn Stevenson, SG,2004-2005
Phoenix Suns,2358000,Joe Johnson, G,2004-2005
Philadelphia 76ers,2332000,Kedrick Brown, SG,2004-2005
Memphis Grizzlies,2322000,Jake Tsakalidis, C,2004-2005
Seattle SuperSonics,2301000,Vladimir Radmanovic, SF,2004-2005
LA Clippers,2269000,Mamadou N'diaye, C,2004-2005
New Jersey Nets,2266000,Richard Jefferson, F,2004-2005
Miami Heat,2.00E+07,Shaquille O'Neal, C,2005-2006
LA Clippers,15750000,Vin Baker, PF,2005-2006
Orlando Magic,15750000,Anfernee Hardaway, SF,2005-2006
Houston Rockets,15694250,Tracy McGrady, SG,2005-2006
Orlando Magic,15694250,Grant Hill, SF,2005-2006
Memphis Grizzlies,14666250,Eddie Jones, SG,2005-2006
Phoenix Suns,13975000,Tim Thomas, PF,2005-2006
Toronto Raptors,13865000,Antonio Davis, PF,2005-2006
Boston Celtics,13843156,Paul Pierce, SF,2005-2006
New Jersey Nets,13843156,Vince Carter, SF,2005-2006
Golden State Warriors,13700000,Baron Davis, PG,2005-2006
Philadelphia 76ers,19125000,Chris Webber, C,2005-2006
Orlando Magic,13700000,Steve Francis, PG,2005-2006
Phoenix Suns,13700000,Shawn Marion, SG,2005-2006
Seattle SuperSonics,13223140,Ray Allen, SG,2005-2006
LA Clippers,13152000,Elton Brand, PF,2005-2006
Milwaukee Bucks,1.20E+07,Michael Redd, SG,2005-2006
Atlanta Hawks,1.20E+07,Joe Johnson, G,2005-2006
Portland Trail Blazers,11666666,Theo Ratliff, C,2005-2006
Sacramento Kings,11500000,Mike Bibby, PG,2005-2006
Los Angeles Lakers,11448596,Lamar Odom, PF,2005-2006
Utah Jazz,11260483,Carlos Boozer, PF,2005-2006
Minnesota Timberwolves,1.80E+07,Kevin Garnett, PF,2005-2006
Memphis Grizzlies,10993000,Pau Gasol, C,2005-2006
Utah Jazz,10983000,Andrei Kirilenko, SF,2005-2006
Denver Nuggets,10886364,Kenyon Martin, PF,2005-2006
Detroit Pistons,10860000,Rasheed Wallace, PF,2005-2006
Portland Trail Blazers,10666667,Zach Randolph, PF,2005-2006
Boston Celtics,10623288,Raef LaFrentz, C,2005-2006
Minnesota Timberwolves,10500000,Wally Szczerbiak, SG,2005-2006
Cleveland Cavaliers,10344900,Larry Hughes, SG,2005-2006
Washington Wizards,10243200,Gilbert Arenas, PG,2005-2006
New Jersey Nets,10200000,Richard Jefferson, F,2005-2006
Philadelphia 76ers,16453125,Allen Iverson, SG,2005-2006
Philadelphia 76ers,10075000,Jamal Mashburn, SF,2005-2006
New York Knicks,16453125,Stephon Marbury, PG,2005-2006
New Jersey Nets,16440000,Jason Kidd, PG,2005-2006
Indiana Pacers,16440000,Jermaine O'Neal, C,2005-2006
Los Angeles Lakers,15946875,Kobe Bryant, SF,2005-2006
San Antonio Spurs,15845157,Tim Duncan, C,2005-2006
Phoenix Suns,9625000,Steve Nash, PG,2005-2006
Seattle SuperSonics,9571429,Rashard Lewis, PF,2005-2006
Denver Nuggets,9400000,Marcus Camby, C,2005-2006
New York Knicks,9100000,Maurice Taylor, PF,2005-2006
Golden State Warriors,8888888,Jason Richardson, SG,2005-2006
Sacramento Kings,8750000,Brad Miller, C,2005-2006
Cleveland Cavaliers,8743238,Zydrunas Ilgauskas, C,2005-2006
Orlando Magic,8640000,Kelvin Cato, C,2005-2006
Philadelphia 76ers,8477178,Samuel Dalembert, C,2005-2006
San Antonio Spurs,8400000,Tony Parker, PG,2005-2006
Dallas Mavericks,8367187,Jerry Stackhouse, SF,2005-2006
Milwaukee Bucks,8333334,Jamaal Magloire, C,2005-2006
Chicago Bulls,8299670,Tyson Chandler, C,2005-2006
Utah Jazz,8250000,Mehmet Okur, C,2005-2006
Sacramento Kings,8183769,Kenny Thomas, PF,2005-2006
Detroit Pistons,8125000,Richard Hamilton, SG,2005-2006
Denver Nuggets,8100000,Andre Miller, PG,2005-2006
Milwaukee Bucks,8.00E+06,Bobby Simmons, SF,2005-2006
Sacramento Kings,8.00E+06,Bonzi Wells, SG,2005-2006
"NO/Oklahoma City
 Hornets",8.00E+06,P.J. Brown, PF,2005-2006
Indiana Pacers,7900000,Austin Croshere, PF,2005-2006
Memphis Grizzlies,7700000,Lorenzen Wright, PF,2005-2006
Dallas Mavericks,7662500,Erick Dampier, C,2005-2006
Miami Heat,7562500,Jason Williams, PG,2005-2006
Sacramento Kings,7525000,Peja Stojakovic, SF,2005-2006
Dallas Mavericks,7500000,Doug Christie, SG,2005-2006
Los Angeles Lakers,7500000,Kwame Brown, C,2005-2006
Detroit Pistons,7500000,Ben Wallace, PF,2005-2006
San Antonio Spurs,7428937,Manu Ginobili, G,2005-2006
New York Knicks,7394663,Eddy Curry, C,2005-2006
Golden State Warriors,7365079,Troy Murphy, PF,2005-2006
Golden State Warriors,7312500,Adonal Foyle, C,2005-2006
Portland Trail Blazers,7250000,Darius Miles, SF,2005-2006
LA Clippers,7241379,Cuttino Mobley, SG,2005-2006
"NO/Oklahoma City
 Hornets",7233333,Desmond Mason, SF,2005-2006
Indiana Pacers,7175000,Jonathan Bender, SF,2005-2006
Phoenix Suns,7085919,Kurt Thomas, PF,2005-2006
LA Clippers,7.00E+06,Corey Maggette, SF,2005-2006
New York Knicks,6979147,Malik Rose, PF,2005-2006
Atlanta Hawks,6975500,Al Harrington, PF,2005-2006
Indiana Pacers,5610000,Stephen Jackson, SF,2005-2006
Houston Rockets,5594906,Yao Ming, C,2005-2006
Minnesota Timberwolves,5515875,Mark Blount, C,2005-2006
San Antonio Spurs,5500000,Nazr Mohammed, C,2005-2006
New Jersey Nets,5500000,Jason Collins, C,2005-2006
Cleveland Cavaliers,5484375,Eric Snow, PG,2005-2006
Indiana Pacers,5400000,Jamaal Tinsley, PG,2005-2006
Orlando Magic,5393300,Hedo Turkoglu, SF,2005-2006
Golden State Warriors,5393300,Derek Fisher, PG,2005-2006
Dallas Mavericks,5393300,Marquis Daniels, SG,2005-2006
Washington Wizards,5393300,Etan Thomas, C,2005-2006
Minnesota Timberwolves,5280528,Marko Jaric, PG,2005-2006
Minnesota Timberwolves,5253000,Troy Hudson, PG,2005-2006
Orlando Magic,5200000,Tony Battie, C,2005-2006
Houston Rockets,5075000,David Wesley, SG,2005-2006
Utah Jazz,5020000,Matt Harpring, SF,2005-2006
Los Angeles Lakers,5000600,Devean George, SF,2005-2006
Washington Wizards,5.00E+06,Antonio Daniels, PG,2005-2006
Houston Rockets,5.00E+06,Stromile Swift, PF,2005-2006
Charlotte Bobcats,5.00E+06,Gerald Wallace, SF,2005-2006
Miami Heat,5.00E+06,Udonis Haslem, PF,2005-2006
New York Knicks,6945500,Quentin Richardson, SF,2005-2006
LA Clippers,6906000,Howard Eisley, PG,2005-2006
Miami Heat,6884000,Antoine Walker, PF,2005-2006
Memphis Grizzlies,6871431,Mike Miller, SG,2005-2006
Sacramento Kings,6842105,Metta World Peace, SF,2005-2006
San Antonio Spurs,6720000,Rasho Nesterovic, C,2005-2006
Dallas Mavericks,6666667,Jason Terry, G,2005-2006
New York Knicks,6480000,Jamal Crawford, SG,2005-2006
Milwaukee Bucks,6353200,Joe Smith, PF,2005-2006
Portland Trail Blazers,6353200,Ruben Patterson, PF,2005-2006
Toronto Raptors,6300000,Alvin Williams, PG,2005-2006
Indiana Pacers,6274935,Scot Pollard, C,2005-2006
Seattle SuperSonics,6207670,Danny Fortson, C,2005-2006
LA Clippers,6187500,Sam Cassell, PG,2005-2006
Sacramento Kings,6.00E+06,Corliss Williamson, PF,2005-2006
Minnesota Timberwolves,5909800,Ricky Davis, SG,2005-2006
Detroit Pistons,5909800,Chauncey Billups, PG,2005-2006
Houston Rockets,5900400,Juwan Howard, PF,2005-2006
Minnesota Timberwolves,5900400,Michael Olowokandi, C,2005-2006
Sacramento Kings,5.00E+06,Shareef Abdur-Rahim, PF,2005-2006
New York Knicks,5.00E+06,Jerome James, C,2005-2006
Sacramento Kings,4950000,Brian Skinner, PF,2005-2006
Memphis Grizzlies,4950000,Brian Cardinal, PF,2005-2006
Memphis Grizzlies,4903000,Shane Battier, SF,2005-2006
Cleveland Cavaliers,4799108,Donyell Marshall, PF,2005-2006
Milwaukee Bucks,4750000,Dan Gadzuric, C,2005-2006
San Antonio Spurs,4691390,Brent Barry, SG,2005-2006
Cleveland Cavaliers,4621800,LeBron James, SF,2005-2006
Charlotte Bobcats,4600000,Brevin Knight, PG,2005-2006
Toronto Raptors,4550000,Morris Peterson, SG,2005-2006
New Jersey Nets,4550000,Marc Jackson, PF,2005-2006
Golden State Warriors,4506261,Mike Dunleavy, SG,2005-2006
Brooklyn Nets,4501200,Andrea Bargnani, C,2005-2006
Memphis Grizzlies,4500000,Chucky Atkins, PG,2005-2006
Orlando Magic,4493160,Dwight Howard, C,2005-2006
Utah Jazz,4400000,Greg Ostertag, C,2005-2006
Minnesota Timberwolves,4350000,Trenton Hassell, SF,2005-2006
Milwaukee Bucks,4340520,Andrew Bogut, C,2005-2006
Phoenix Suns,4250000,Raja Bell, SG,2005-2006
Memphis Grizzlies,4250000,Damon Stoudamire, PG,2005-2006
Houston Rockets,4200000,Moochie Norris, PG,2005-2006
Denver Nuggets,4190476,Eduardo Najera, PF,2005-2006
Orlando Magic,4135200,Darko Milicic, C,2005-2006
Cleveland Cavaliers,4065811,Drew Gooden, PF,2005-2006
Charlotte Bobcats,4020120,Emeka Okafor, C,2005-2006
Utah Jazz,4.00E+06,Gordan Giricek, SG,2005-2006
Washington Wizards,4.00E+06,Brendan Haywood, C,2005-2006
Indiana Pacers,4.00E+06,Sarunas Jasikevicius, PG,2005-2006
Orlando Magic,4.00E+06,Carlos Arroyo, PG,2005-2006
Toronto Raptors,3938000,Eric Williams, PF,2005-2006
Atlanta Hawks,3883000,Marvin Williams, PF,2005-2006
Houston Rockets,3850000,Rafer Alston, PG,2005-2006
Los Angeles Lakers,3792817,Chris Mihm, C,2005-2006
Denver Nuggets,3713640,Carmelo Anthony, PF,2005-2006
Philadelphia 76ers,3636364,Kyle Korver, SG,2005-2006
Chicago Bulls,3610200,Ben Gordon, SG,2005-2006
"NO/Oklahoma City
 Hornets",3600000,Speedy Claxton, PG,2005-2006
Cleveland Cavaliers,3596924,Damon Jones, PG,2005-2006
Portland Trail Blazers,3520000,Voshon Lenard, SG,2005-2006
Houston Rockets,3520000,Bob Sura, PG,2005-2006
Detroit Pistons,3500000,Dale Davis, PF,2005-2006
Atlanta Hawks,3500000,Tyronn Lue, PG,2005-2006
Utah Jazz,3487440,Deron Williams, PG,2005-2006
Toronto Raptors,3410000,Mike James, PG,2005-2006
New Jersey Nets,3400000,Jeff McInnis, PG,2005-2006
Toronto Raptors,3375000,Aaron Williams, C,2005-2006
San Antonio Spurs,3375000,Bruce Bowen, SF,2005-2006
Memphis Grizzlies,3375000,Bobby Jackson, PG,2005-2006
Toronto Raptors,3348000,Chris Bosh, PF,2005-2006
Seattle SuperSonics,3325416,Vitaly Potapenko, C,2005-2006
LA Clippers,3254880,Shaun Livingston, PG,2005-2006
Orlando Magic,3231250,Pat Garrity, PF,2005-2006
Chicago Bulls,3200000,Othella Harrington, PF,2005-2006
Seattle SuperSonics,3166154,Vladimir Radmanovic, SF,2005-2006
"NO/Oklahoma City
 Hornets",3144240,Chris Paul, PG,2005-2006
Orlando Magic,3100000,Keyon Dooling, PG,2005-2006
Denver Nuggets,3039889,Nene Hilario, C,2005-2006
Miami Heat,3031920,Dwyane Wade, SG,2005-2006
LA Clippers,3.00E+06,Zeljko Rebraca, C,2005-2006
Charlotte Bobcats,3.00E+06,Kareem Rush, SG,2005-2006
San Antonio Spurs,3.00E+06,Robert Horry, PF,2005-2006
Los Angeles Lakers,3.00E+06,Slava Medvedenko, PF,2005-2006
Philadelphia 76ers,2950200,Kevin Ollie, PG,2005-2006
Cleveland Cavaliers,2950200,Ira Newble, SF,2005-2006
Dallas Mavericks,2947440,Devin Harris, PG,2005-2006
Detroit Pistons,2925000,Tony Delk, PG,2005-2006
Memphis Grizzlies,2900000,Jake Tsakalidis, C,2005-2006
Charlotte Bobcats,2847360,Raymond Felton, PG,2005-2006
Philadelphia 76ers,2844828,Steven Hunter, C,2005-2006
Seattle SuperSonics,2812239,Chris Wilcox, PF,2005-2006
Chicago Bulls,2800000,Chris Duhon, PG,2005-2006
Chicago Bulls,2775000,Andres Nocioni, SF,2005-2006
LA Clippers,2753760,Chris Kaman, C,2005-2006
Charlotte Bobcats,2750000,Primoz Brezec, C,2005-2006
Denver Nuggets,2750000,Earl Boykins, PG,2005-2006
Orlando Magic,2750000,DeShawn Stevenson, SG,2005-2006
Atlanta Hawks,2677200,Josh Childress, F,2005-2006
San Antonio Spurs,2675000,Michael Finley, SG,2005-2006
Miami Heat,2640000,Michael Doleac, C,2005-2006
Phoenix Suns,2640000,Jim Jackson, SF,2005-2006
Phoenix Suns,2589023,Amar'e Stoudemire, C,2005-2006
Boston Celtics,2586207,Brian Scalabrine, PF,2005-2006
Portland Trail Blazers,2586120,Martell Webster, SF,2005-2006
Chicago Bulls,2513880,Kirk Hinrich, SG,2005-2006
New Jersey Nets,2500000,Bostjan Nachbar, SF,2005-2006
New Jersey Nets,2500000,Clifford Robinson, PF,2005-2006
Portland Trail Blazers,2500000,Juan Dixon, SG,2005-2006
Washington Wizards,2461617,Caron Butler, SF,2005-2006
Chicago Bulls,2443920,Luol Deng, SF,2005-2006
Washington Wizards,2433824,Jared Jeffries, PF,2005-2006
Indiana Pacers,2420000,Anthony Johnson, PG,2005-2006
Charlotte Bobcats,2401027,Melvin Ely, C,2005-2006
Phoenix Suns,2400000,James Jones, SG,2005-2006
Toronto Raptors,2360880,Charlie Villanueva, PF,2005-2006
Toronto Raptors,2333334,Jose Calderon, PG,2005-2006
Indiana Pacers,2328843,Fred Jones, SG,2005-2006
San Antonio Spurs,2325000,Fabricio Oberto, C,2005-2006
Milwaukee Bucks,2303040,T.J. Ford, PG,2005-2006
Boston Celtics,2255350,Dan Dickau, PG,2005-2006
Toronto Raptors,2238960,Rafael Araujo, C,2005-2006
Chicago Bulls,2200000,Darius Songaila, PF,2005-2006
Milwaukee Bucks,2177114,Jiri Welsch, GF,2005-2006
New York Knicks,2162880,Channing Frye, F,2005-2006
Chicago Bulls,2116920,Michael Sweetney, PF,2005-2006
Philadelphia 76ers,2058000,Andre Iguodala, SG,2005-2006
Charlotte Bobcats,2015625,Jake Voskuhl, C,2005-2006
Washington Wizards,2011080,Jarvis Hayes, SF,2005-2006
Toronto Raptors,2.00E+06,Matt Bonner, C,2005-2006
Minnesota Timberwolves,2.00E+06,Mark Madsen, PF,2005-2006
Milwaukee Bucks,2.00E+06,Toni Kukoc, SF,2005-2006
Houston Rockets,2.00E+06,Dikembe Mutombo, C,2005-2006
Dallas Mavericks,2.00E+06,DeSagana Diop, C,2005-2006
Golden State Warriors,1988160,Ike Diogu, PF,2005-2006
Cleveland Cavaliers,1955160,Luke Jackson, SF,2005-2006
Golden State Warriors,1910520,Mickael Pietrus, SF,2005-2006
Los Angeles Lakers,1888680,Andrew Bynum, C,2005-2006
Charlotte Bobcats,1875000,Jumaine Jones, SF,2005-2006
Golden State Warriors,1857360,Andris Biedrins, C,2005-2006
Seattle SuperSonics,1815000,Nick Collison, F,2005-2006
Houston Rockets,1800000,Jon Barry, SG,2005-2006
Seattle SuperSonics,1764480,Robert Swift, C,2005-2006
Detroit Pistons,1763115,Tayshaun Prince, SF,2005-2006
Seattle SuperSonics,1760000,Reggie Evans, C,2005-2006
Milwaukee Bucks,1760000,Mo Williams, PG,2005-2006
Detroit Pistons,1760000,Lindsey Hunter, SG,2005-2006
Minnesota Timberwolves,1724280,Marcus Banks, PG,2005-2006
Utah Jazz,1700000,Jarron Collins, C,2005-2006
Philadelphia 76ers,1699001,John Salmons, SF,2005-2006
Portland Trail Blazers,1676280,Sebastian Telfair, PG,2005-2006
LA Clippers,1670000,Yaroslav Korolev, SF,2005-2006
Phoenix Suns,1670000,Brian Grant, PF,2005-2006
Washington Wizards,1670000,Michael Ruffin, PF,2005-2006
Miami Heat,1670000,Derek Anderson, SG,2005-2006
Chicago Bulls,1670000,Malik Allen, PF,2005-2006
Denver Nuggets,1670000,Greg Buckner, SG,2005-2006
Seattle SuperSonics,1638000,Luke Ridnour, PG,2005-2006
Charlotte Bobcats,1619280,Sean May, C,2005-2006
New Jersey Nets,1600000,Scott Padgett, PF,2005-2006
Utah Jazz,1592400,Kris Humphries, PF,2005-2006
Utah Jazz,1592400,Devin Brown, SG,2005-2006
Portland Trail Blazers,1560000,Joel Przybilla, C,2005-2006
Atlanta Hawks,1560000,Josh Smith, PF,2005-2006
Milwaukee Bucks,1556160,Reece Gaines, PG,2005-2006
Sacramento Kings,1540000,Jason Hart, PG,2005-2006
Minnesota Timberwolves,1538400,Rashad McCants, SG,2005-2006
Boston Celtics,1512840,Al Jefferson, C,2005-2006
Detroit Pistons,1500000,Maurice Evans, SG,2005-2006
New Jersey Nets,1461360,Antoine Wright, SF,2005-2006
"NO/Oklahoma City
 Hornets",1437240,Kirk Snyder, SG,2005-2006
Golden State Warriors,1404360,Zarko Cabarkapa, SF,2005-2006
Utah Jazz,1400000,Milt Palacio, PG,2005-2006
Toronto Raptors,1388400,Joey Graham, SF,2005-2006
"NO/Oklahoma City
 Hornets",1334160,David West, F,2005-2006
Indiana Pacers,1318920,Danny Granger, SF,2005-2006
"NO/Oklahoma City
 Hornets",1300000,Rasual Butler, SF,2005-2006
"NO/Oklahoma City
 Hornets",1297080,JR Smith, SG,2005-2006
Cleveland Cavaliers,1274160,Sasha Pavlovic, SG,2005-2006
Boston Celtics,1253040,Gerald Green, SG,2005-2006
Miami Heat,1238640,Dorell Wright, SF,2005-2006
Memphis Grizzlies,1223160,Dahntay Jones, SG,2005-2006
Memphis Grizzlies,1196520,Hakim Warrick, PF,2005-2006
Orlando Magic,1189200,Jameer Nelson, G,2005-2006
Phoenix Suns,1174200,Boris Diaw, C,2005-2006
Denver Nuggets,1148760,Julius Hodge, SG,2005-2006
Dallas Mavericks,1141560,Pavel Podkolzin, C,2005-2006
Seattle SuperSonics,1138500,Bryon Russell, SF,2005-2006
Miami Heat,1138500,Alonzo Mourning, C,2005-2006
Orlando Magic,1138500,Bo Outlaw, PF,2005-2006
Orlando Magic,1138500,Stacey Augmon, SF,2005-2006
